Anggaran,Created at,Fakultas,Serapan,Tahun,Tahun Data
158375444164,18/09/2023 10:29,FEB,158375444164,2019,01/01/2019 00:00
52418040347,18/09/2023 10:29,FF,52376354284,2019,01/01/2019 00:00
64689531418,18/09/2023 10:29,FH,64611813272,2019,01/01/2019 00:00
45736902183,18/09/2023 10:29,FIB,45694803840,2019,01/01/2019 00:00
84218729182,18/09/2023 10:29,FISIP,84099463732,2019,01/01/2019 00:00
195577754760,18/09/2023 10:29,FK,195555604232,2019,01/01/2019 00:00
77944949123,18/09/2023 10:29,FKG,77908911164,2019,01/01/2019 00:00
55927306821,18/09/2023 10:29,FKH,55763630312,2019,01/01/2019 00:00
74470023796,18/09/2023 10:29,FKM,74277727528,2019,01/01/2019 00:00
34576892381,18/09/2023 10:29,FKp,34564878256,2019,01/01/2019 00:00
27295590947,18/09/2023 10:29,FPK,27288962296,2019,01/01/2019 00:00
43118574321,18/09/2023 10:29,FPsi,43054574196,2019,01/01/2019 00:00
75778516473,18/09/2023 10:29,FST,75626908232,2019,01/01/2019 00:00
0,18/09/2023 10:29,ftmm,0,2019,01/01/2019 00:00
20222110860,18/09/2023 10:29,PPS,20190284172,2019,01/01/2019 00:00
31024478537,18/09/2023 10:29,SIKIA,30953603420,2019,01/01/2019 00:00
63928968629,18/09/2023 10:29,Vokasi,63785726716,2019,01/01/2019 00:00
4153243623,18/09/2023 10:29,Vokasi Kp Gresik,4145083600,2019,01/01/2019 00:00
4424234053,18/09/2023 10:29,Vokasi Kp Lamongan,4419211780,2019,01/01/2019 00:00
129500691075,18/09/2023 10:29,FEB,129210969832,2020,01/01/2020 00:00
54432649155,18/09/2023 10:29,FF,54381114764,2020,01/01/2020 00:00
47017526503,18/09/2023 10:29,FH,46925060532,2020,01/01/2020 00:00
34805674784,18/09/2023 10:29,FIB,34797952604,2020,01/01/2020 00:00
62987938328,18/09/2023 10:29,FISIP,62948673272,2020,01/01/2020 00:00
183185498480,18/09/2023 10:29,FK,182890871372,2020,01/01/2020 00:00
80622546790,18/09/2023 10:29,FKG,80391212376,2020,01/01/2020 00:00
42387161460,18/09/2023 10:29,FKH,42362223044,2020,01/01/2020 00:00
69298854296,18/09/2023 10:29,FKM,69265585060,2020,01/01/2020 00:00
32821101645,18/09/2023 10:29,FKp,32755629700,2020,01/01/2020 00:00
21709669094,18/09/2023 10:29,FPK,21657899856,2020,01/01/2020 00:00
35706906648,18/09/2023 10:29,FPsi,35651655824,2020,01/01/2020 00:00
74289908481,18/09/2023 10:29,FST,74098460200,2020,01/01/2020 00:00
12189741394,18/09/2023 10:29,ftmm,12166159304,2020,01/01/2020 00:00
16768355667,18/09/2023 10:29,PPS,16721537440,2020,01/01/2020 00:00
24670191433,18/09/2023 10:29,SIKIA,24641117944,2020,01/01/2020 00:00
61917772295,18/09/2023 10:29,Vokasi,61819163024,2020,01/01/2020 00:00
3231680896,18/09/2023 10:29,Vokasi Kp Gresik,3227405988,2020,01/01/2020 00:00
2815839084,18/09/2023 10:29,Vokasi Kp Lamongan,2809449116,2020,01/01/2020 00:00
121053932903,18/09/2023 10:29,FEB,120938458128,2021,01/01/2021 00:00
50388982519,18/09/2023 10:29,FF,50359100196,2021,01/01/2021 00:00
44514348925,18/09/2023 10:29,FH,44407731760,2021,01/01/2021 00:00
28459975038,18/09/2023 10:29,FIB,28402440064,2021,01/01/2021 00:00
60523464095,18/09/2023 10:29,FISIP,60522730576,2021,01/01/2021 00:00
175843627478,18/09/2023 10:29,FK,175520712192,2021,01/01/2021 00:00
80153015850,18/09/2023 10:29,FKG,80008801684,2021,01/01/2021 00:00
38490599136,18/09/2023 10:29,FKH,38477813284,2021,01/01/2021 00:00
49854254500,18/09/2023 10:29,FKM,49854254500,2021,01/01/2021 00:00
21682719403,18/09/2023 10:29,FKp,21664557272,2021,01/01/2021 00:00
18953494634,18/09/2023 10:29,FPK,18924500900,2021,01/01/2021 00:00
31034518688,18/09/2023 10:29,FPsi,31008173584,2021,01/01/2021 00:00
64473586268,18/09/2023 10:29,FST,64376309220,2021,01/01/2021 00:00
18367507966,18/09/2023 10:29,ftmm,18358800712,2021,01/01/2021 00:00
19002729565,18/09/2023 10:29,PPS,18987126656,2021,01/01/2021 00:00
30696201116,18/09/2023 10:29,SIKIA,30618283972,2021,01/01/2021 00:00
53855309982,18/09/2023 10:29,Vokasi,53745636688,2021,01/01/2021 00:00
6546473373,18/09/2023 10:29,Vokasi Kp Gresik,6533478544,2021,01/01/2021 00:00
1337040670,18/09/2023 10:29,Vokasi Kp Lamongan,1335733338,2021,01/01/2021 00:00
213560703950,18/09/2023 10:30,FEB,212964024752,2022,01/01/2022 00:00
86190395455,18/09/2023 10:30,FF,86162509412,2022,01/01/2022 00:00
72375498849,18/09/2023 10:30,FH,72370596704,2022,01/01/2022 00:00
51393347007,18/09/2023 10:30,FIB,51298024364,2022,01/01/2022 00:00
92034642207,18/09/2023 10:30,FISIP,91768667160,2022,01/01/2022 00:00
324368707329,18/09/2023 10:30,FK,324713055476,2022,01/01/2022 00:00
114902282054,18/09/2023 10:30,FKG,114565520116,2022,01/01/2022 00:00
65379730125,18/09/2023 10:30,FKH,65364735404,2022,01/01/2022 00:00
83229859935,18/09/2023 10:30,FKM,83159387900,2022,01/01/2022 00:00
55143692840,18/09/2023 10:30,FKp,54992152212,2022,01/01/2022 00:00
38110279733,18/09/2023 10:30,FPK,38013724208,2022,01/01/2022 00:00
52117936455,18/09/2023 10:30,FPsi,52057823708,2022,01/01/2022 00:00
105708767233,18/09/2023 10:30,FST,106022486160,2022,01/01/2022 00:00
59535484519,18/09/2023 10:30,ftmm,59383641616,2022,01/01/2022 00:00
36694791289,18/09/2023 10:30,PPS,36600622292,2022,01/01/2022 00:00
46294631897,18/09/2023 10:30,SIKIA,46194175144,2022,01/01/2022 00:00
93238792903,18/09/2023 10:30,Vokasi,93049920876,2022,01/01/2022 00:00
5204657938,18/09/2023 10:29,Vokasi Kp Gresik,5194985160,2022,01/01/2022 00:00
2355710088,18/09/2023 10:29,Vokasi Kp Lamongan,2353010008,2022,01/01/2022 00:00
126638250224,18/09/2023 10:30,FEB,126409035540,2023,01/01/2023 00:00
53480284691,18/09/2023 10:30,FF,53463169828,2023,01/01/2023 00:00
47377479627,18/09/2023 10:30,FH,47303333280,2023,01/01/2023 00:00
31453365638,18/09/2023 10:30,FIB,31359644536,2023,01/01/2023 00:00
55221485963,18/09/2023 10:30,FISIP,55221188732,2023,01/01/2023 00:00
209998955824,18/09/2023 10:30,FK,209454108668,2023,01/01/2023 00:00
64088287725,18/09/2023 10:30,FKG,63971513808,2023,01/01/2023 00:00
46631175234,18/09/2023 10:30,FKH,46663248012,2023,01/01/2023 00:00
45077881088,18/09/2023 10:30,FKM,45077881088,2023,01/01/2023 00:00
39125326112,18/09/2023 10:30,FKp,39083012592,2023,01/01/2023 00:00
23800063571,18/09/2023 10:30,FPK,23773945896,2023,01/01/2023 00:00
32469181439,18/09/2023 10:30,FPsi,32438850856,2023,01/01/2023 00:00
69984260557,18/09/2023 10:30,FST,69902423308,2023,01/01/2023 00:00
36873043175,18/09/2023 10:30,ftmm,36861322536,2023,01/01/2023 00:00
23970609235,18/09/2023 10:30,PPS,23942806300,2023,01/01/2023 00:00
26811832077,18/09/2023 10:30,SIKIA,26747083176,2023,01/01/2023 00:00
64221571757,18/09/2023 10:30,Vokasi,64136749244,2023,01/01/2023 00:00
939697342,18/09/2023 10:29,Vokasi Kp Gresik,938158400,2023,01/01/2023 00:00
880742685,18/09/2023 10:29,Vokasi Kp Lamongan,878594332,2023,01/01/2023 00:00
